Category,Subcategory,Budgeted,Actual,Difference,Notes
Income,Salary,5000,5000,0,
Income,Freelance,1000,850,-150,
Income,Investments,200,200,0,
Income,Other,0,0,0,
Housing,Rent/Mortgage,1500,1500,0,
Housing,Insurance,100,100,0,
Housing,Maintenance,50,0,-50,
Utilities,Electricity,150,145,5,
Utilities,Water,60,55,5,
Utilities,Gas,80,75,5,
Utilities,Internet,70,70,0,
Utilities,Phone,50,50,0,
Transportation,Gas,200,180,20,
Transportation,Parking,50,40,10,
Transportation,Public Transit,100,100,0,
Transportation,Insurance,120,120,0,
Transportation,Maintenance,100,0,-100,
Food,Groceries,400,450,-50,
Food,Dining Out,200,250,-50,
Food,Coffee/Snacks,50,75,-25,
Health,Insurance,200,200,0,
Health,Gym,40,40,0,
Health,Doctor,50,0,-50,
Health,Pharmacy,30,25,5,
Entertainment,Streaming,30,30,0,
Entertainment,Games,50,60,-10,
Entertainment,Hobbies,100,80,20,
Entertainment,Vacation,200,0,-200,
Savings,Emergency Fund,500,500,0,
Savings,Retirement,500,500,0,
Savings,Investments,300,300,0,
Debt,Credit Card,200,200,0,
Debt,Student Loans,300,300,0,
Debt,Personal Loan,0,0,0,
Total,,,,,
