company,job_title,salary,location,year
NVIDIA CORPORATION,Business Intelligence Engineer,208000,"Nashville, TN",2026
NVIDIA CORPORATION,Product Manager,188000,"Phoenix, AZ",2026
LINKEDIN CORPORATION,Big Data Engineer,178000,"Sunnyvale, CA",2024
SQUARE INC,Network Engineer,161000,"Pittsburgh, PA",2026
SERVICENOW INC,Engineering Manager,146000,"Santa Clara, CA",2026
UBER TECHNOLOGIES INC,Operations Research Analyst,137000,"Irvine, CA",2026
INTEL CORPORATION,Engineering Manager,166000,"Santa Clara, CA",2024
TWITTER INC,DevOps Engineer,124000,"San Francisco, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Full Stack Engineer,108000,"Teaneck, NJ",2026
SALESFORCE INC,SDET,181000,"New York, NY",2025
AIRBNB INC,Big Data Engineer,179000,"San Francisco, CA",2025
INTEL CORPORATION,Infrastructure Engineer,174000,"Atlanta, GA",2026
SALESFORCE INC,Senior Product Manager,196000,"San Francisco, CA",2025
DATADOG INC,Analytics Engineer,185000,"Redmond, WA",2026
JPMORGAN CHASE & CO,Infrastructure Engineer,160000,"Boston, MA",2024
AIRBNB INC,Software Engineer,191000,"San Francisco, CA",2025
DROPOBOX INC,Backend Engineer,131000,"San Francisco, CA",2024
META PLATFORMS INC,Operations Research Analyst,210000,"Menlo Park, CA",2026
STRIPE INC,Senior Software Engineer,170000,"South San Francisco, CA",2026
IBM CORPORATION,Technical Lead,150000,"Reston, VA",2025
AMAZON WEB SERVICES INC,Product Manager,159000,"Bentonville, AR",2024
INTEL CORPORATION,QA Engineer,136000,"Santa Clara, CA",2024
ZOOM VIDEO COMMUNICATIONS,Applied Scientist,180000,"Nashville, TN",2026
TWITTER INC,Database Administrator,173000,"San Francisco, CA",2024
DROPOBOX INC,Technical Lead,154000,"Mountain View, CA",2025
MICROSOFT CORPORATION,QA Engineer,193000,"Redmond, WA",2024
GOOGLE LLC,Senior Engineering Manager,210000,"Columbus, OH",2026
INFOSYS LIMITED,Big Data Engineer,94000,"Plano, TX",2026
SERVICENOW INC,Security Engineer,149000,"Santa Clara, CA",2025
STRIPE INC,Financial Analyst,156000,"South San Francisco, CA",2025
META PLATFORMS INC,Senior Product Manager,169000,"Menlo Park, CA",2026
AIRBNB INC,AI Engineer,137000,"San Francisco, CA",2025
WALMART GLOBAL TECH,QA Engineer,130000,"Bentonville, AR",2024
AMAZON COM SERVICES LLC,Data Engineer,159000,"Seattle, WA",2025
IBM CORPORATION,Software Engineer,128000,"Armonk, NY",2026
TESLA INC,Senior Engineering Manager,169000,"Pittsburgh, PA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Machine Learning Engineer,71000,"Teaneck, NJ",2024
WALMART GLOBAL TECH,Business Intelligence Engineer,122000,"Bentonville, AR",2025
VMWARE LLC,Data Engineer,116000,"Palo Alto, CA",2025
NETFLIX INC,Infrastructure Engineer,272000,"Los Gatos, CA",2025
ZOOM VIDEO COMMUNICATIONS,Systems Engineer,130000,"San Jose, CA",2024
NETFLIX INC,Machine Learning Engineer,229000,"Los Gatos, CA",2026
STRIPE INC,Infrastructure Engineer,210000,"South San Francisco, CA",2024
JPMORGAN CHASE & CO,Research Scientist,105000,"Dallas, TX",2026
TATA CONSULTANCY SERVICES,Software Engineer,72000,"Dallas, TX",2024
UBER TECHNOLOGIES INC,Systems Engineer,154000,"San Francisco, CA",2025
STRIPE INC,AI Engineer,207000,"South San Francisco, CA",2026
NVIDIA CORPORATION,Backend Engineer,173000,"Detroit, MI",2024
UBER TECHNOLOGIES INC,SDET,127000,"New York, NY",2025
DATADOG INC,Backend Engineer,165000,"New York, NY",2026
PINTEREST INC,Full Stack Engineer,189000,"San Francisco, CA",2025
SQUARE INC,Solutions Architect,172000,"Jersey City, NJ",2025
ORACLE AMERICA INC,Platform Engineer,110000,"Richmond, VA",2024
GOLDMAN SACHS & CO LLC,Engineering Manager,147000,"St. Louis, MO",2024
SQUARE INC,Applied Scientist,168000,"San Francisco, CA",2026
PALANTIR TECHNOLOGIES,Staff Software Engineer,140000,"Denver, CO",2025
AMAZON COM SERVICES LLC,UX Engineer,177000,"Austin, TX",2026
ORACLE AMERICA INC,Solutions Architect,173000,"Austin, TX",2026
TWITTER INC,Infrastructure Engineer,148000,"San Francisco, CA",2025
PALANTIR TECHNOLOGIES,Research Scientist,128000,"Denver, CO",2026
GOOGLE LLC,Research Scientist,157000,"Mountain View, CA",2026
WORKDAY INC,Operations Research Analyst,144000,"Newark, NJ",2024
META PLATFORMS INC,Site Reliability Engineer,181000,"Menlo Park, CA",2026
INTEL CORPORATION,Applied Scientist,128000,"Redmond, WA",2025
IBM CORPORATION,Systems Engineer,110000,"Armonk, NY",2025
INTEL CORPORATION,Security Engineer,142000,"Plano, TX",2024
WORKDAY INC,Operations Research Analyst,161000,"Raleigh, NC",2026
ZOOM VIDEO COMMUNICATIONS,Software Engineer,184000,"Minneapolis, MN",2026
AMAZON WEB SERVICES INC,Compliance Analyst,187000,"Seattle, WA",2026
IBM CORPORATION,Machine Learning Engineer,148000,"San Francisco, CA",2024
LINKEDIN CORPORATION,Backend Engineer,207000,"Sunnyvale, CA",2025
GOOGLE LLC,Technical Program Manager,186000,"Mountain View, CA",2026
PINTEREST INC,DevOps Engineer,180000,"San Francisco, CA",2024
AIRBNB INC,UX Engineer,169000,"San Francisco, CA",2025
NETFLIX INC,UX Engineer,322000,"Los Gatos, CA",2025
STRIPE INC,Compliance Analyst,198000,"Schaumburg, IL",2024
SALESFORCE INC,Site Reliability Engineer,185000,"San Francisco, CA",2024
STRIPE INC,Senior Product Manager,199000,"South San Francisco, CA",2026
NETFLIX INC,Technical Lead,332000,"Los Gatos, CA",2026
META PLATFORMS INC,Senior Engineering Manager,199000,"Menlo Park, CA",2026
APPLE INC,Senior Software Engineer,172000,"Cupertino, CA",2024
LINKEDIN CORPORATION,Full Stack Engineer,166000,"Austin, TX",2026
AMAZON WEB SERVICES INC,Data Scientist,166000,"Seattle, WA",2024
TATA CONSULTANCY SERVICES,SRE,69000,"Bridgewater, NJ",2026
ZOOM VIDEO COMMUNICATIONS,AI Engineer,134000,"San Jose, CA",2026
WALMART GLOBAL TECH,Data Engineer,106000,"Los Angeles, CA",2024
PALANTIR TECHNOLOGIES,Research Scientist,153000,"Denver, CO",2025
TATA CONSULTANCY SERVICES,Frontend Engineer,72000,"Bridgewater, NJ",2025
DATADOG INC,Machine Learning Engineer,126000,"New York, NY",2025
DATADOG INC,Security Engineer,140000,"San Diego, CA",2025
ADOBE INC,Senior Data Scientist,149000,"Phoenix, AZ",2024
META PLATFORMS INC,Business Intelligence Engineer,168000,"New York, NY",2025
AMAZON COM SERVICES LLC,Senior Data Engineer,159000,"Seattle, WA",2026
APPLE INC,Research Scientist,170000,"Bridgewater, NJ",2026
SQUARE INC,Security Engineer,186000,"Detroit, MI",2025
AMAZON COM SERVICES LLC,Security Engineer,193000,"Kansas City, MO",2024
META PLATFORMS INC,Senior Data Scientist,206000,"Menlo Park, CA",2024
META PLATFORMS INC,Big Data Engineer,184000,"Menlo Park, CA",2026
STRIPE INC,Machine Learning Engineer,212000,"Salt Lake City, UT",2025
SERVICENOW INC,Systems Engineer,156000,"Santa Clara, CA",2026
META PLATFORMS INC,AI Engineer,194000,"Cambridge, MA",2025
MICROSOFT CORPORATION,Senior Product Manager,186000,"Redmond, WA",2024
SERVICENOW INC,Product Manager,144000,"Tempe, AZ",2026
APPLE INC,Software Engineer,146000,"Cupertino, CA",2024
CAPITAL ONE SERVICES LLC,Data Scientist,114000,"Atlanta, GA",2026
SPLUNK INC,Solutions Architect,154000,"Dallas, TX",2024
DROPOBOX INC,Senior DevOps Engineer,175000,"McLean, VA",2025
STRIPE INC,Senior Software Engineer,191000,"South San Francisco, CA",2026
PINTEREST INC,Senior Data Engineer,149000,"Brooklyn, NY",2026
JPMORGAN CHASE & CO,Backend Engineer,153000,"New York, NY",2024
CAPITAL ONE SERVICES LLC,QA Engineer,155000,"Plano, TX",2026
TWITTER INC,Senior Data Scientist,164000,"Los Angeles, CA",2025
SNAP INC,Research Scientist,166000,"Santa Monica, CA",2024
VMWARE LLC,SDET,185000,"Cambridge, MA",2025
AIRBNB INC,Business Intelligence Engineer,144000,"St. Louis, MO",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Data Engineer,96000,"Philadelphia, PA",2026
TATA CONSULTANCY SERVICES,Network Engineer,86000,"Bridgewater, NJ",2024
INTEL CORPORATION,Infrastructure Engineer,143000,"San Diego, CA",2024
META PLATFORMS INC,Infrastructure Engineer,150000,"Phoenix, AZ",2025
ORACLE AMERICA INC,Technical Lead,156000,"Kansas City, MO",2024
AMAZON WEB SERVICES INC,Big Data Engineer,188000,"Arlington, VA",2025
ACCENTURE LLP,Compliance Analyst,140000,"Chicago, IL",2024
MICROSOFT CORPORATION,Compliance Analyst,136000,"Sunnyvale, CA",2025
SPLUNK INC,Data Engineer,164000,"San Francisco, CA",2024
AMAZON WEB SERVICES INC,Machine Learning Engineer,158000,"Seattle, WA",2026
TWITTER INC,Full Stack Engineer,187000,"San Francisco, CA",2026
GOLDMAN SACHS & CO LLC,Full Stack Engineer,114000,"Atlanta, GA",2024
SNAP INC,UX Engineer,198000,"Santa Monica, CA",2026
VMWARE LLC,Senior Software Engineer,182000,"Cambridge, MA",2025
NVIDIA CORPORATION,Engineering Manager,219000,"Santa Clara, CA",2025
STRIPE INC,SDET,178000,"South San Francisco, CA",2025
PALANTIR TECHNOLOGIES,Platform Engineer,114000,"San Francisco, CA",2025
WALMART GLOBAL TECH,Senior Product Manager,115000,"Indianapolis, IN",2026
IBM CORPORATION,Cloud Engineer,129000,"Minneapolis, MN",2024
PINTEREST INC,Data Engineer,172000,"San Francisco, CA",2025
GOLDMAN SACHS & CO LLC,Analytics Engineer,139000,"New York, NY",2024
INTEL CORPORATION,Senior Engineering Manager,163000,"Arlington, VA",2025
SQUARE INC,Senior Data Engineer,172000,"San Francisco, CA",2026
AMAZON WEB SERVICES INC,Applied Scientist,183000,"Seattle, WA",2026
PINTEREST INC,Compliance Analyst,153000,"Houston, TX",2024
TWITTER INC,Senior Engineering Manager,182000,"San Francisco, CA",2025
CAPITAL ONE SERVICES LLC,Solutions Architect,145000,"McLean, VA",2026
GOOGLE LLC,Financial Analyst,210000,"Mountain View, CA",2026
JPMORGAN CHASE & CO,Engineering Manager,131000,"Bentonville, AR",2025
MICROSOFT CORPORATION,Technical Program Manager,149000,"Tempe, AZ",2025
TESLA INC,Senior Data Scientist,169000,"Austin, TX",2026
TESLA INC,Operations Research Analyst,127000,"Seattle, WA",2025
TWITTER INC,Senior Data Engineer,149000,"Tempe, AZ",2026
SPLUNK INC,QA Engineer,182000,"San Francisco, CA",2025
GOLDMAN SACHS & CO LLC,UX Engineer,184000,"New York, NY",2025
GOOGLE LLC,Technical Lead,161000,"Mountain View, CA",2024
NVIDIA CORPORATION,Business Intelligence Engineer,192000,"Santa Clara, CA",2025
AMAZON WEB SERVICES INC,Analytics Engineer,154000,"Seattle, WA",2025
GOLDMAN SACHS & CO LLC,Staff Software Engineer,163000,"New York, NY",2025
UBER TECHNOLOGIES INC,Technical Lead,171000,"Plano, TX",2026
