Phase,Task,Assigned To,Priority,Status,Start Date,Due Date,Notes
Planning,Define Scope,Team,High,Complete,2026-08-01,2026-08-03,
Planning,Stakeholder Meeting,Team,High,Complete,2026-08-03,2026-08-04,
Planning,Requirements Doc,Lead,Medium,In Progress,2026-08-04,2026-08-08,
Planning,Budget Approval,Manager,High,Pending,2026-08-08,2026-08-12,
Design,Wireframes,Designer,High,Not Started,2026-08-10,2026-08-15,
Design,UI Mockups,Designer,High,Not Started,2026-08-12,2026-08-20,
Design,Design Review,Team,Medium,Not Started,2026-08-20,2026-08-22,
Design,Prototype,Designer,Low,Not Started,2026-08-22,2026-08-28,
Development,Backend Setup,Dev,High,Not Started,2026-08-15,2026-08-22,
Development,Frontend Setup,Dev,High,Not Started,2026-08-15,2026-08-22,
Development,API Integration,Dev,High,Not Started,2026-08-22,2026-09-05,
Development,Database Schema,Dev,Medium,Not Started,2026-08-22,2026-08-28,
Development,Feature Implementation,Dev,High,Not Started,2026-09-01,2026-10-01,
Testing,Unit Tests,QA,High,Not Started,2026-09-20,2026-10-05,
Testing,Integration Tests,QA,High,Not Started,2026-10-01,2026-10-10,
Testing,UAT,Users,Medium,Not Started,2026-10-10,2026-10-17,
Testing,Bug Fixes,Dev,High,Not Started,2026-10-17,2026-10-24,
Launch,Deployment,Ops,High,Not Started,2026-10-24,2026-10-26,
Launch,Marketing Campaign,Marketing,High,Not Started,2026-10-20,2026-11-01,
Launch,Launch Day,All,High,Not Started,2026-10-26,2026-10-26,
Post-Launch,Monitoring,Ops,High,Not Started,2026-10-26,2026-11-02,
Post-Launch,Feedback Collection,Product,Medium,Not Started,2026-10-26,2026-11-09,
Post-Launch,Iteration,Team,Medium,Not Started,2026-11-09,2026-11-23,
